13:49:47.908 INFO  org.phonoteke.AbstractCrawler - Document http://www.ondarock.it/songwriter/susannesundfor.htm added into DOCUMENT
13:51:04.829 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_viniciocapossela.htm: null
13:51:07.054 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_takadumorchestra_addije.htm: null
13:51:14.749 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_marissanadler_july.htm: null
13:51:18.840 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/claudiololli_hovistoanchedeglizingarifelici.htm: null
13:51:25.357 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/deandre_tutti.htm: null
13:52:02.778 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/cccp_affinita.htm: null
13:52:15.810 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_joejackson_fastforward.htm: null
13:52:21.449 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/battiato_caffe.htm: null
13:52:31.463 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_joejackson_theduke.htm: null
13:52:42.757 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_dalladegregori.htm: null
13:53:07.597 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/alice_ilsolenellapioggia.htm: null
13:53:13.385 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2009_nadler.htm: null
13:53:21.012 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/giorgiogaber_ilsignorg.htm: null
13:53:29.783 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/francescodegregori_rimmel.htm: null
13:54:11.228 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/recensioni/2015_lakker_tundra.htm: null
13:55:19.092 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/sgtpeppers.html: null
13:55:20.750 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/court.html: null
13:55:20.867 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/abbeyroad.html: null
13:55:28.739 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/selling.html: null
13:55:28.892 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/forever.html: null
13:55:30.356 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_vaccines_englishgraffiti.htm: null
13:55:34.004 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_2814_atarashinitsunotanjo.htm: null
